ÇàÁ¤µ¿ÄÚµå,½Ã°£´ë±¸ºÐ,ÃÑ»ýÈ°ÀÎ±¸¼öÆò±Õ,60-64¼¼,65¼¼-69¼¼,70¼¼ÀÌ»ó
11680690,»õº®,18991.98759,657.3897116,521.3009469,638.339049
11680700,»õº®,49915.35317,1410.054542,1113.07837,1563.139566
11680720,»õº®,24090.54291,763.8247807,625.9350043,806.5720666
11680730,»õº®,19574.32243,818.4412512,672.5651555,860.2025204
11680740,»õº®,14355.56316,463.4361438,385.1429953,488.1640473
11680750,»õº®,21683.05777,892.5816933,742.3631839,1055.608797
11710510,»õº®,16796.22953,736.9544136,502.9574787,663.3795509
11710520,»õº®,35345.88479,1232.044136,934.6578319,1277.638117
11710531,»õº®,11997.07843,468.9437724,342.854738,469.8724233
11710532,»õº®,16635.28821,607.2390665,477.8872502,694.4295505
11710540,»õº®,16430.49903,644.3338866,530.4346967,688.7937505
11710550,»õº®,18212.99872,814.5744813,593.048223,745.3492957
11710561,»õº®,17124.74697,534.6975944,419.3244142,559.1113536
11710562,»õº®,34419.69894,1029.968193,693.3363007,923.5447524
11710566,»õº®,15746.07057,544.6526309,474.7383192,668.8818442
11710570,»õº®,40056.46288,1517.278894,1155.534878,1467.14093
11710580,»õº®,29543.12484,872.0525453,648.535328,862.4812864
11710590,»õº®,21304.43449,757.1649638,574.9534061,733.0353417
11710600,»õº®,37904.40632,1126.569931,841.3234358,1149.447725
11710610,»õº®,35251.88023,991.8859535,737.7876871,970.9457255
11710620,»õº®,36684.38799,1310.066172,803.5258557,986.5518313
11710631,»õº®,28718.38282,1028.093509,714.975893,850.3254088
11710632,»õº®,29793.23491,1076.173106,736.0570151,968.6103372
11710641,»õº®,23411.27719,820.9887788,639.1240644,790.1431718
11710642,»õº®,34557.40763,967.2609905,694.0243784,904.2637529
11710646,»õº®,35928.03825,1138.374451,879.3180502,1055.393654
11710647,»õº®,37395.61249,851.6739859,627.2755454,723.4422081
11710650,»õº®,35727.03142,972.0261511,721.5918391,1086.098733
11710670,»õº®,36507.3318,808.3634478,637.2189574,914.9548735
11710680,»õº®,32857.84625,1067.423146,882.7583016,1193.050335
11710690,»õº®,24514.45072,697.612856,526.8059947,742.4348814
11710710,»õº®,23288.04581,758.7971263,612.3116928,804.0451457
11710720,»õº®,11410.6102,377.8632861,391.4514542,588.4468394
11740515,»õº®,47637.3951,1454.206623,1075.148552,1581.754703
11740520,»õº®,37141.89463,1382.581409,981.6339941,1245.374371
11740530,»õº®,30210.4022,1104.386677,823.0898955,983.2999311
11740540,»õº®,17016.0581,644.114525,465.8012275,533.8769098
11740550,»õº®,28133.11185,827.7965097,572.6340774,709.2162513
11740560,»õº®,23006.91094,789.0445153,578.6049256,815.6126086
11740570,»õº®,32642.95622,1118.846971,896.973591,1197.862581
11740580,»õº®,15642.55789,552.3706299,378.4934537,553.8337297
11740590,»õº®,16889.05525,529.7135035,382.6711704,508.0016789
11740600,»õº®,37194.39808,1432.006527,1039.4137,1401.125307
11740610,»õº®,44325.11076,1638.388971,1209.935358,1679.424632
11740620,»õº®,30920.58485,1160.766346,831.0266421,1191.479725
11740640,»õº®,25844.84066,867.0715349,681.1457164,1005.852443
11740650,»õº®,27574.37023,1012.129159,774.9233596,1111.102378
11740660,»õº®,27369.90047,932.5507196,696.9065462,999.4880688
11740685,»õº®,54732.15114,2125.046818,1546.393861,2128.32179
11740690,»õº®,7728.222438,264.0852348,198.9912073,290.4871741
11740700,»õº®,27967.15161,1025.725035,852.0256093,1271.765653
11110515,¾ÆÄ§,15811.24563,412.3579793,313.7885514,499.4498021
11110530,¾ÆÄ§,19595.91263,621.685359,419.4814999,684.5488384
11110540,¾ÆÄ§,5118.18235,164.3883146,136.0365588,183.3778336
11110550,¾ÆÄ§,15454.64475,570.871103,398.7183904,629.7036044
11110560,¾ÆÄ§,20428.22269,828.8563019,584.0884255,855.565573
11110570,¾ÆÄ§,8134.245679,284.8828652,197.4498284,312.1143271
11110580,¾ÆÄ§,6666.115462,199.3186032,141.2498888,219.2431408
11110600,¾ÆÄ§,6448.70428,157.6581099,123.2142506,190.7995565
11110615,¾ÆÄ§,35002.43835,1191.095894,785.8650953,1096.914746
11110630,¾ÆÄ§,13054.54844,580.4027302,364.1267814,538.4818165
11110640,¾ÆÄ§,19075.74725,553.4186347,448.9972786,690.366148
11110650,¾ÆÄ§,26864.70583,606.3477132,456.6937922,770.0293157
11110670,¾ÆÄ§,8907.738046,392.0792583,281.4382319,374.0929015
11110680,¾ÆÄ§,10334.0428,434.2939987,305.9710102,426.7263017
11110690,¾ÆÄ§,5426.028502,173.4878575,137.8852794,192.7022743
11110700,¾ÆÄ§,7766.232085,265.9072576,212.9648311,299.5512917
11110710,¾ÆÄ§,13216.28295,464.1362649,349.4505935,481.3206454
11140520,¾ÆÄ§,16528.65071,472.3782726,277.0881567,332.8945993
11140540,¾ÆÄ§,15357.39119,581.39874,377.8636801,534.4228009
11140550,¾ÆÄ§,18869.88948,518.2653254,359.8953951,425.4562822
11140570,¾ÆÄ§,8406.047214,251.0508813,165.9247408,225.2148175
11140580,¾ÆÄ§,8776.166331,266.4625029,203.9214579,286.8982022
11140590,¾ÆÄ§,16147.40816,544.7374204,416.8692621,522.9879561
11140605,¾ÆÄ§,10877.29367,442.4749784,316.3594906,459.6009247
11140615,¾ÆÄ§,20649.03085,625.0778787,431.5022421,601.3763477
11140625,¾ÆÄ§,15049.84704,495.3509459,412.2851941,608.7370076
11140635,¾ÆÄ§,17329.81706,659.3872735,529.002828,810.2658159
11140645,¾ÆÄ§,12986.99376,410.8709992,294.2386152,479.075007
11140650,¾ÆÄ§,10732.07098,352.7311169,263.2001836,354.7472601
11140665,¾ÆÄ§,9950.873232,344.9685574,249.7951515,343.2122522
11140670,¾ÆÄ§,13576.7944,408.3914143,301.1709845,459.3925317
11140680,¾ÆÄ§,8628.309695,245.1497004,197.6518049,304.6302814
11170510,¾ÆÄ§,15562.43488,534.3584838,337.807603,478.4760501
11170520,¾ÆÄ§,12048.58297,361.3831243,248.9548214,406.9908266
11170530,¾ÆÄ§,12306.43485,404.2239033,274.2132178,390.8510798
11170555,¾ÆÄ§,22909.50566,593.5890865,468.1818667,671.2096633
11170560,¾ÆÄ§,20611.94697,530.6030613,374.5712114,531.0778773
11170570,¾ÆÄ§,14035.0478,427.8793397,379.3983637,515.3652121
