행정동코드,읍면동코드,자치행정동,자치구,행정동,거주인구수,낮생활인구비율,총노인시설수,접근성지표,이용편리지표
11590540,1120054,동작구 상도2동,동작구,상도2동,4453,0.06549445,6,11.08673723,2.5
11590550,1120055,동작구 상도3동,동작구,상도3동,4325,0.065392813,3,5.761164956,7.5
11590560,1120056,동작구 상도4동,동작구,상도4동,4945,0.065824798,16,6.915644544,2.5
11590620,1120063,동작구 사당1동,동작구,사당1동,3694,0.066491311,4,9.803819838,5
11590640,1120065,동작구 사당3동,동작구,사당3동,4370,0.07383687,9,5.263130222,0
11590650,1120066,동작구 사당4동,동작구,사당4동,2638,0.068353925,6,5.193945805,2.5
11590651,1120067,동작구 사당5동,동작구,사당5동,2256,0.063727574,6,7.331702938,0
11590660,1120068,동작구 대방동,동작구,대방동,5694,0.054403775,13,14.41657354,7.5
11590670,1120069,동작구 신대방1동,동작구,신대방1동,3819,0.063424212,8,6.511464053,7.5
11590680,1120070,동작구 신대방2동,동작구,신대방2동,3032,0.057983778,5,3.506970644,10
11590605,1120071,동작구 흑석동,동작구,흑석동,5587,0.054841922,10,22.20669778,2.5
11590510,1120072,동작구 노량진1동,동작구,노량진1동,5678,0.046543804,20,25.50731842,2.5
11590630,1120073,동작구 사당2동,동작구,사당2동,5300,0.072685565,6,15.48003531,10
11620525,1121052,관악구 보라매동,관악구,보라매동,4423,0.058735182,4,5.594513774,7.5
11620545,1121054,관악구 청림동,관악구,청림동,2688,0.06694788,5,1.277944622,0
11620575,1121057,관악구 행운동,관악구,행운동,4314,0.058578755,5,8.439546771,7.5
11620585,1121058,관악구 낙성대동,관악구,낙성대동,1951,0.041811217,3,7.788746397,5
11620615,1121061,관악구 중앙동,관악구,중앙동,2346,0.059659612,3,3.982974564,0
11620625,1121062,관악구 인헌동,관악구,인헌동,3975,0.060650676,4,6.299822334,2.5
11620630,1121063,관악구 남현동,관악구,남현동,2734,0.066180121,3,8.958614637,5
11620645,1121064,관악구 서원동,관악구,서원동,3258,0.055738681,4,8.588143502,0
11620655,1121065,관악구 신원동,관악구,신원동,3215,0.065026341,2,2.1059154,10
11620665,1121066,관악구 서림동,관악구,서림동,3458,0.055267521,1,6.357287497,0
11620685,1121068,관악구 신사동,관악구,신사동,3516,0.066278059,3,10.67971007,12.5
11620695,1121069,관악구 신림동,관악구,신림동,1934,0.048707579,2,7.536119614,12.5
11620715,1121071,관악구 난향동,관악구,난향동,2693,0.069355961,8,4.440151076,0
11620725,1121072,관악구 조원동,관악구,조원동,2819,0.054737672,5,4.346338592,10
11620735,1121073,관악구 대학동,관악구,대학동,2938,0.03953732,2,14.95582764,2.5
11620605,1121078,관악구 은천동,관악구,은천동,5809,0.066256579,11,12.45542152,0
11620565,1121079,관악구 성현동,관악구,성현동,5249,0.062676025,8,10.99418375,0
11620595,1121080,관악구 청룡동,관악구,청룡동,4408,0.054937482,5,6.980603554,7.5
11620775,1121081,관악구 난곡동,관악구,난곡동,5324,0.070428919,5,7.328090417,7.5
11620745,1121082,관악구 삼성동,관악구,삼성동,5611,0.085097415,8,9.824440782,10
11620765,1121083,관악구 미성동,관악구,미성동,5737,0.065467924,9,13.91455998,12.5
11650510,1122051,서초구 서초1동,서초구,서초1동,2998,0.049576261,9,18.47215893,7.5
11650520,1122052,서초구 서초2동,서초구,서초2동,2634,0.034655556,6,16.22720381,0
11650530,1122053,서초구 서초3동,서초구,서초3동,4688,0.044793423,8,17.17647213,2.5
11650531,1122054,서초구 서초4동,서초구,서초4동,4094,0.03833184,7,12.97513564,0
11650540,1122055,서초구 잠원동,서초구,잠원동,3344,0.044841272,24,10.52168489,5
11650550,1122056,서초구 반포본동,서초구,반포본동,1867,0.064033552,1,9.202019576,5
11650560,1122057,서초구 반포1동,서초구,반포1동,3590,0.041032814,7,22.49749917,5
11650570,1122058,서초구 반포2동,서초구,반포2동,1899,0.050712912,2,16.41664133,15
