구명,단지명,주택유형,세대수,주소,우편번호,경도,위도,H/B,행정동,행정동_경도,행정동_위도
관악구,e편한세상 서울대입구(봉천12-2구역),재개발행복(재건축리츠2호),1489,관악구 청룡10길 45(봉천동 1555-1),8830,126.9430557,37.47723093,H,청룡동,126.9416756,37.47909553
광진구,한라녹턴,재건축,72,영화사로16길 43 (구의동 구의동 아차산 한라아파트),4957,127.0973462,37.55383544,H,구의2동,127.0899358,37.54724565
광진구,래미안프리미어팰리스,재건축재개발,264,아차산로 345(자양동 래미안프리미어팰리스아파트),5026,127.081583,37.53750524,H,자양1동,127.0824396,37.53450738
광진구,강변SK뷰(구의3),재건축,197,광진구 아차산로 431(구의동 667),5045,127.0901908,37.53865397,H,구의3동,127.0919613,37.53798181
구로구,오류동부골든(오류1),재개발,304,고척로 49 (오류동 동부골든아파트),8253,126.841369,37.50000726,H,오류1동,126.8450507,37.49709334
구로구,구로두산(구로6),재개발,442,도림로 59 (구로동 구로두산아파트),8313,126.8889619,37.4898994,H,구로4동,126.8891619,37.4916288
구로구,고척유진마젤란아파트,재건축,175,경인로47길 128 (고척동 고척마젤란아파트),8219,126.8639211,37.50458538,H,고척1동,126.8627629,37.50035526
구로구,구로경남아너스빌,재건축,129,구로중앙로8길 41-23 (구로동 경남아너스빌),8304,126.892994,37.49368104,H,구로4동,126.8891619,37.4916288
구로구,온수힐스테이트,재건축,999,부일로9길 127 (온수동 온수 힐스테이트),8259,126.8204799,37.49759393,H,수궁동,126.8314786,37.49390322
구로구,고척벽산블루밍(고척3),재개발,339,고척로60길 30 (고척동 벽산베스트블루밍아파트),8228,126.8587666,37.50514966,H,고척2동,126.8586118,37.50671146
구로구,천왕이펜하우스2단지,국민장기,526,천왕로 92 (천왕동 천왕이펜하우스2단지),8365,126.8380864,37.48522882,H,오류2동,126.8395046,37.4888147
구로구,천왕이펜하우스6단지,국민장기,678,천왕로 9 (천왕동 천왕이펜하우스6단지),8364,126.8422575,37.47902076,H,오류2동,126.8395046,37.4888147
구로구,천왕이펜하우스5단지,국민장기,522,천왕로 10 (천왕동 천왕 이펜하우스 5단지),8365,126.8421621,37.48072633,H,오류2동,126.8395046,37.4888147
구로구,천왕이펜하우스4단지,국민장기,478,천왕로 29 (천왕동 천왕 이펜하우스 4단지),8364,126.8385945,37.48080098,H,오류2동,126.8395046,37.4888147
구로구,천왕이펜하우스1단지,국민장기,314,천왕로 91 (천왕동 천왕 이펜하우스 1단지),8364,126.8374452,37.48668938,H,오류2동,126.8395046,37.4888147
구로구,천왕이펜하우스3단지,국민장기,1044,천왕로 56 (천왕동 천왕 이펜하우스 3단지),8365,126.8389147,37.48305321,H,오류2동,126.8395046,37.4888147
구로구,천왕2-1(천왕연지타운1),국민장기,571,오류로 30 (천왕동 천왕연지타운1단지),8350,126.8399921,37.48636795,H,오류2동,126.8395046,37.4888147
구로구,천왕2-2(천왕연지타운2),국민장기,1018,오리로 1102-10 (천왕동 천왕연지타운2단지),8350,126.8433413,37.48401441,H,오류2동,126.8395046,37.4888147
구로구,개봉푸르지오,재건축,978,남부순환로 775 (개봉동 개봉푸르지오),8236,126.8471623,37.50156787,H,개봉1동,126.8511464,37.50026551
