,전철역코드,전철역명,전철명명(영문),호선,외부코드,검색키워드,주소,위도,경도,환승역,H/B,행정동,행정동_경도,행정동_위도
18,2614,독바위역,Dokbawi,6호선,613,독바위역 6호선,서울 은평구 불광로 지하 129-1,37.6183988849915,126.93281013847601,0,H,불광1동,126.9320868678149,37.61035877069879
19,2615,연신내역,Yeonsinnae,6호선,614,연신내역 6호선,서울 은평구 통일로 지하 849,37.618962003178,126.921162124977,1,H,갈현1동,126.91674168150115,37.62362229730654
20,2616,구산역,Gusan,6호선,615,구산역 6호선,서울 은평구 연서로 지하 137-1,37.6112122196295,126.917182386796,0,H,구산동,126.91037618652634,37.61175703033078
21,2617,새절역,Saejeol,6호선,616,새절역 6호선,서울 은평구 증산로 지하 400,37.591827054401705,126.913911983591,0,H,신사2동,126.9082235268078,37.59023972566066
22,2618,증산역,Jeungsan,6호선,617,증산역 6호선,서울 은평구 증산로 지하 306,37.5841954778004,126.91005758788602,0,H,증산동,126.90703977276561,37.58430306092341
23,2619,디지털미디어시티역,Digital Media City,6호선,618,디지털미디어시티역 6호선,서울 은평구 수색로 지하 175,37.577161435266106,126.901928562926,1,H,증산동,126.90703977276561,37.58430306092341
24,2620,월드컵경기장역,World Cup Stadium,6호선,619,월드컵경기장역 6호선,서울 마포구 월드컵로 지하 240,37.569942569034,126.899033325814,0,H,성산2동,126.90899709145033,37.56865612002697
25,2621,마포구청역,Mapo-gu Office,6호선,620,마포구청역 6호선,서울 마포구 월드컵로 지하 190,37.5634263131969,126.903356973848,0,H,성산2동,126.90899709145033,37.56865612002697
26,2734,논현역,Nonhyeon,7호선,732,논현역 7호선,서울 강남구 학동로 지하 102,37.5111988300765,127.02165786166901,0,H,논현1동,127.02855272024502,37.51149226338117
27,2735,반포역,Banpo,7호선,733,반포역 7호선,서울 서초구 신반포로 지하 241,37.5081263886404,127.011497032246,0,H,반포1동,127.01337714858089,37.50509061438031
28,2736,고속터미널역,Express Bus Terminal,7호선,734,고속터미널역 7호선,서울 서초구 신반포로 지하 188,37.504647182738,127.004442096367,1,H,반포4동,127.00030759341732,37.49747606930116
29,0332,양재역,Yangjae,3호선,342,양재역 3호선,서울 서초구 남부순환로 지하 2585,37.483934732890795,127.03454419343599,1,H,양재1동,127.02672880394384,37.47163933132787
30,0333,매봉역,Maebong,3호선,343,매봉역 3호선,서울 강남구 남부순환로 지하 2744,37.4869611285839,127.04661456092501,0,H,도곡1동,127.03896912921999,37.48830459754871
31,0334,도곡역,Dogok,3호선,344,도곡역 3호선,서울 강남구 남부순환로 지하 2814,37.490864771718705,127.05532337372,1,H,도곡2동,127.04638382177308,37.483728401661516
32,0335,대치역,Daechi,3호선,345,대치역 3호선,서울 강남구 남부순환로 지하 2952,37.4945627553067,127.06343019344901,0,H,대치2동,127.06416444805477,37.50224839237725
33,0336,학여울역,Hangnyeoul,3호선,346,학여울역 3호선,서울 강남구 남부순환로 지하 3104,37.4967171864138,127.071718971861,0,H,대치2동,127.06416444805477,37.50224839237725
34,0337,대청역,Daecheong,3호선,347,대청역 3호선,서울 강남구 일원로 지하 2,37.493721859778795,127.079493645766,0,H,일원2동,127.07369959446872,37.49217318132317
