정류소명,X좌표,Y좌표,정류버스수
성동고등학교,127.0220406536,37.5655113169,17
신당역.중앙시장앞,127.0194761669,37.565586108,17
산장아파트,126.9275847501,37.4600365695,17
대림초등학교,126.9264845221,37.4996881824,17
오류1동주민센터.오류문화센터,126.8446939794,37.4964652775,17
월드컵경기장북측,126.8981549596,37.5738568275,17
월드컵파크7단지,126.8792630428,37.5818554117,17
상봉역.중랑우체국,127.0837377269,37.5959733573,17
어린이대공원역.화양천주교회,127.0736930425,37.5466022392,17
강남경찰서.강남운전면허시험장,127.0671229603,37.5098652817,17
우성아파트,127.0682657691,37.5011819271,17
흑석동한강현대아파트,126.971743946,37.5058385513,17
비계,126.9685796262,37.5064287101,17
신길새마을금고,126.9195161963,37.5140897872,17
시흥유통센터,126.903493315,37.4402544805,17
가산디지털단지역,126.8815009072,37.4808098191,17
가리봉시장,126.887124614,37.4828654982,17
신림복지관앞,126.9196308518,37.4651937198,17
난우중학교입구,126.9204312325,37.4667211125,17
우림시장.난곡보건분소,126.9199758577,37.4703944371,17
세이브마트앞,126.9181217068,37.4737877659,17
신일교회앞,126.9168669706,37.4753476087,17
난곡우체국사거리,126.9156017801,37.4770477738,17
남부여성발전센터,126.9042644443,37.4624233505,17
당산역삼성래미안아파트,126.9034479619,37.533069553,17
목동역.목동오거리,126.8628060164,37.5258921299,17
발산역.우장산힐스테이트,126.837479617,37.5560679651,17
수궁119안전센터,126.8294087782,37.4968030712,17
응암오거리,126.916247,37.590813,17
을지로3가,126.990379454,37.566313373,16
퇴계로3가.한옥마을.한국의집,126.992490506,37.5609899926,16
광희동,127.0072941642,37.5650333972,16
북서울꿈의숲,127.044351703,37.6191103466,16
혜화동로터리.여운형활동터,127.0016943494,37.5862299819,16
혜화역.동성중고(장면총리가옥),127.0015280585,37.5845415827,16
하계장미아파트,127.0668981348,37.6349926667,16
우이동성원아파트,127.0134646945,37.6607847495,16
정릉시장입구,127.009848917,37.6084714968,16
정릉우체국앞,127.0114514047,37.605178794,16
하림각,126.9618276217,37.5982689981,16
도봉면허시험장,127.0596629486,37.6573607663,16
고려대역.고대앞삼거리,127.0367938167,37.5888049152,16
순천향대학병원,127.0056118536,37.5363898168,16
신촌역,126.9348147965,37.5557347429,16
쌍용아파트,127.0684653793,37.6013841609,16
석계역1번출구.A,127.0650456799,37.6148135182,16
군자교입구,127.0748828032,37.5587645852,16
중곡동입구삼거리,127.0849041555,37.5548902929,16
어린이대공원후문아차산역,127.0891986787,37.552406179,16
보라매역.동작세무서,126.9201102329,37.4989588479,16
장성교회,126.9400124392,37.508208587,16
상도초등학교입구,126.9357800125,37.5029478592,16
신촌기차역,126.9426002579,37.5587081855,16
세종문화회관,126.9766708825,37.5735846442,16
왕십리역,127.036192993,37.5602982533,16
사가정역,127.0877376515,37.5808204757,16
면목두산아파트2차,127.0848414888,37.5810520374,16
건대입구역사거리.건대병원,127.0710277445,37.5409391399,16
광진경찰서,127.0845868593,37.5431031348,16
수서역,127.1024840373,37.4863236703,16
잠실엘스아파트앞,127.0833908604,37.5118776043,16
잠실새내역4번출구,127.0845114114,37.5116323642,16
여의도순복음교회,126.924124435,37.5300400227,16
현대아파트앞,127.1194226924,37.5287344716,16
고덕리엔파크1단지,127.1705228881,37.5611674895,16
해뜨는주유소,127.1709898594,37.5590218891,16
강남역,127.026796153,37.4976241462,16
양재역,127.0349993372,37.4833819962,16
래미안포레아파트,127.1062710015,37.4751407528,16
경문고등학교,126.9827295523,37.4904376391,16
정금마을,126.9828180395,37.4932521524,16
흑석역.명수대현대아파트,126.9655773939,37.5075632815,16
서초힐스아파트,127.0166669815,37.4579365009,16
하안버스공영차고지,126.8743435017,37.459207152,16
