정류소명,X좌표,Y좌표,정류버스수,행정동,행정동_경도,행정동_위도
KT반포지사,126.9925999385,37.4982519712,"3",반포2동,126.994503507652,37.5045938889694
이수중앙시장,126.9888912996,37.4922154732,"3",방배본동,126.988886408987,37.4942175065151
함지박사거리,126.9912013497,37.4931335861,"3",방배본동,126.988886408987,37.4942175065151
팔래스호텔,127.0000256959,37.5006105157,"3",반포4동,127.000307593417,37.4974760693012
삼성래미안.이수역방향,127.0012882558,37.5044078368,"3",반포2동,126.994503507652,37.5045938889694
서울성모병원.서울지방조달청,127.0040275959,37.5003385463,"3",반포4동,127.000307593417,37.4974760693012
빛교회.이수중앙시장,126.9890026992,37.4923316429,"3",방배본동,126.988886408987,37.4942175065151
노인정,126.987202879,37.489441183,"3",방배4동,126.992482898494,37.4890604237304
금호베스트빌앞,126.9907042754,37.5226166078,"2",서빙고동,126.994638088433,37.5204623812845
서초구민체육센터.심산문화센터,126.9906076132,37.4983029935,"2",반포2동,126.994503507652,37.5045938889694
센트럴시티,127.0062505502,37.5033097796,"2",반포4동,127.000307593417,37.4974760693012
흑석동명수대현대아파트,126.9664185848,37.5072275886,"2",흑석동,126.966590753167,37.505775015361
동작대로(가상),126.9829604876,37.5159524906,"2",이촌1동,126.973316804703,37.5213965319123
세빛섬,126.9945841654,37.508707442,"2",반포2동,126.994503507652,37.5045938889694
호남고속터미널,127.0032182287,37.5054475749,"2",반포4동,127.000307593417,37.4974760693012
호남고속.신세계,127.0033421421,37.5057468023,"2",반포3동,127.003546906127,37.5087854393324
경남상가,126.9998547985,37.5046317823,"2",반포2동,126.994503507652,37.5045938889694
반포2동주민센터,126.9970088793,37.5039567762,"2",반포2동,126.994503507652,37.5045938889694
강남의림한방병원,126.9831343855,37.4908472686,"2",방배4동,126.992482898494,37.4890604237304
방배중학교,126.9980919086,37.4953896924,"2",반포4동,127.000307593417,37.4974760693012
효성빌라,126.9982385938,37.496227895,"2",반포4동,127.000307593417,37.4974760693012
서래마을.서래글로벌빌리지센터,126.9983650515,37.4979003904,"2",반포4동,127.000307593417,37.4974760693012
국립중앙도서관,127.0045250991,37.4979562272,"2",반포4동,127.000307593417,37.4974760693012
롯데캐슬헤론아파트,126.9851854574,37.4972707701,"2",방배본동,126.988886408987,37.4942175065151
유경약국,126.9862179523,37.4936680326,"2",방배본동,126.988886408987,37.4942175065151
서문여고입구,126.9869299979,37.4910579444,"1",방배4동,126.992482898494,37.4890604237304
서빙고동금호베스트빌,126.9908234959,37.5226212728,"1",서빙고동,126.994638088433,37.5204623812845
서울성모병원,127.0055499914,37.5028819916,"1",반포4동,127.000307593417,37.4974760693012
고속터미널호남선,127.0030560717,37.5053987653,"1",반포4동,127.000307593417,37.4974760693012
동작대교남단(가상),126.9738557064,37.5060421651,"1",사당2동,126.979253427857,37.4887524986383
국립중앙박물관,126.9785962412,37.5209467378,"1",서빙고동,126.994638088433,37.5204623812845
서래마을,127.0038775955,37.5001857093,"1",반포4동,127.000307593417,37.4974760693012
갯마을,126.9825538627,37.4963561717,"1",사당2동,126.979253427857,37.4887524986383
이수힐스테이트,126.9797936222,37.4942198915,"1",사당2동,126.979253427857,37.4887524986383
흑석한강푸르지오,126.965882301,37.5051427391,"1",흑석동,126.966590753167,37.505775015361
흑석동주민센터,126.9664322939,37.5058787238,"1",흑석동,126.966590753167,37.505775015361
반포래미안,127.0003806484,37.5046192158,"1",반포2동,126.994503507652,37.5045938889694
경부고속터미널,127.0068288823,37.5065699182,"1",반포4동,127.000307593417,37.4974760693012
방배성당앞,126.9936044571,37.4937244651,"1",방배4동,126.992482898494,37.4890604237304
방배4동성당,126.9935309749,37.4937676364,"1",방배본동,126.988886408987,37.4942175065151
서래초교,126.9889053247,37.4952597078,"1",방배본동,126.988886408987,37.4942175065151
동부센트레빌1,126.9873767741,37.4976025464,"1",방배본동,126.988886408987,37.4942175065151
한신2차후문,127.0052307391,37.5120628722,"1",반포3동,127.003546906127,37.5087854393324
한신2차정문,127.0030087516,37.5085805496,"1",반포3동,127.003546906127,37.5087854393324
서래초등학교,126.9884201694,37.4957550614,"1",방배본동,126.988886408987,37.4942175065151
신한은행,126.9919842289,37.4903425997,"1",방배4동,126.992482898494,37.4890604237304
